mapName,dateTime,date,time,weekday,price,tradeCount,timeUnit
아쿠아로드:깊은 바다 협곡2,2025-12-25 01:00:00,2025-12-25,01:00,목,14580022.0,6.0,HOURLY
아쿠아로드:깊은 바다 협곡2,2025-12-25 02:00:00,2025-12-25,02:00,목,20000000.0,1.0,HOURLY
아쿠아로드:깊은 바다 협곡2,2025-12-25 03:00:00,2025-12-25,03:00,목,27500000.0,2.0,HOURLY
아쿠아로드:깊은 바다 협곡2,2025-12-25 04:00:00,2025-12-25,04:00,목,23000000.0,4.0,HOURLY
아쿠아로드:깊은 바다 협곡2,2025-12-25 05:00:00,2025-12-25,05:00,목,4999999.0,1.0,HOURLY
아쿠아로드:깊은 바다 협곡2,2025-12-25 06:00:00,2025-12-25,06:00,목,23333333.0,3.0,HOURLY
아쿠아로드:깊은 바다 협곡2,2025-12-25 07:00:00,2025-12-25,07:00,목,17000000.0,4.0,HOURLY
아쿠아로드:깊은 바다 협곡2,2025-12-25 08:00:00,2025-12-25,08:00,목,33333333.0,7.0,HOURLY
아쿠아로드:깊은 바다 협곡2,2025-12-25 09:00:00,2025-12-25,09:00,목,30000000.0,4.0,HOURLY
아쿠아로드:깊은 바다 협곡2,2025-12-25 10:00:00,2025-12-25,10:00,목,74408.0,3.0,HOURLY
아쿠아로드:깊은 바다 협곡2,2025-12-25 11:00:00,2025-12-25,11:00,목,40000000.0,3.0,HOURLY
아쿠아로드:깊은 바다 협곡2,2025-12-25 12:00:00,2025-12-25,12:00,목,37000000.0,1.0,HOURLY
아쿠아로드:깊은 바다 협곡2,2025-12-25 13:00:00,2025-12-25,13:00,목,64250000.0,4.0,HOURLY
아쿠아로드:깊은 바다 협곡2,2025-12-25 14:00:00,2025-12-25,14:00,목,52500000.0,2.0,HOURLY
아쿠아로드:깊은 바다 협곡2,2025-12-25 15:00:00,2025-12-25,15:00,목,1234567.0,1.0,HOURLY
아쿠아로드:깊은 바다 협곡2,2025-12-25 16:00:00,2025-12-25,16:00,목,62333333.0,3.0,HOURLY
아쿠아로드:깊은 바다 협곡2,2025-12-25 17:00:00,2025-12-25,17:00,목,23037037.0,3.0,HOURLY
