mapName,dateTime,date,time,weekday,price,tradeCount,timeUnit
미나르숲:망가진 용의 둥지,2025-12-25 01:00:00,2025-12-25,01:00,목,11870573.0,6.0,HOURLY
미나르숲:망가진 용의 둥지,2025-12-25 02:00:00,2025-12-25,02:00,목,32900000.0,11.0,HOURLY
미나르숲:망가진 용의 둥지,2025-12-25 03:00:00,2025-12-25,03:00,목,25150200.0,11.0,HOURLY
미나르숲:망가진 용의 둥지,2025-12-25 04:00:00,2025-12-25,04:00,목,32333332.0,10.0,HOURLY
미나르숲:망가진 용의 둥지,2025-12-25 05:00:00,2025-12-25,05:00,목,14633556.0,10.0,HOURLY
미나르숲:망가진 용의 둥지,2025-12-25 06:00:00,2025-12-25,06:00,목,40000000.0,1.0,HOURLY
미나르숲:망가진 용의 둥지,2025-12-25 07:00:00,2025-12-25,07:00,목,16639320.0,8.0,HOURLY
미나르숲:망가진 용의 둥지,2025-12-25 08:00:00,2025-12-25,08:00,목,29835166.0,6.0,HOURLY
미나르숲:망가진 용의 둥지,2025-12-25 09:00:00,2025-12-25,09:00,목,17424712.0,5.0,HOURLY
미나르숲:망가진 용의 둥지,2025-12-25 10:00:00,2025-12-25,10:00,목,42142857.0,9.0,HOURLY
미나르숲:망가진 용의 둥지,2025-12-25 11:00:00,2025-12-25,11:00,목,29723544.0,10.0,HOURLY
미나르숲:망가진 용의 둥지,2025-12-25 12:00:00,2025-12-25,12:00,목,37250000.0,6.0,HOURLY
미나르숲:망가진 용의 둥지,2025-12-25 13:00:00,2025-12-25,13:00,목,18743302.0,7.0,HOURLY
미나르숲:망가진 용의 둥지,2025-12-25 14:00:00,2025-12-25,14:00,목,44888888.0,10.0,HOURLY
미나르숲:망가진 용의 둥지,2025-12-25 15:00:00,2025-12-25,15:00,목,43000000.0,9.0,HOURLY
미나르숲:망가진 용의 둥지,2025-12-25 16:00:00,2025-12-25,16:00,목,41833333.0,7.0,HOURLY
미나르숲:망가진 용의 둥지,2025-12-25 17:00:00,2025-12-25,17:00,목,43333333.0,8.0,HOURLY
미나르숲:망가진 용의 둥지,2025-12-25 18:00:00,2025-12-25,18:00,목,42500000.0,4.0,HOURLY
미나르숲:망가진 용의 둥지,2025-12-25 19:00:00,2025-12-25,19:00,목,33749999.0,8.0,HOURLY
미나르숲:망가진 용의 둥지,2025-12-25 20:00:00,2025-12-25,20:00,목,24339506.0,18.0,HOURLY
미나르숲:망가진 용의 둥지,2025-12-25 21:00:00,2025-12-25,21:00,목,21042602.0,12.0,HOURLY
미나르숲:망가진 용의 둥지,2025-12-25 22:00:00,2025-12-25,22:00,목,16223052.0,11.0,HOURLY
미나르숲:망가진 용의 둥지,2025-12-25 23:00:00,2025-12-25,23:00,목,24293121.0,12.0,HOURLY
미나르숲:망가진 용의 둥지,2025-12-25T01:00:00,2025-12-25,01:00,목,11870573.0,6.0,HOURLY
미나르숲:망가진 용의 둥지,2025-12-25T02:00:00,2025-12-25,02:00,목,32900000.0,11.0,HOURLY
미나르숲:망가진 용의 둥지,2025-12-25T03:00:00,2025-12-25,03:00,목,25150200.0,11.0,HOURLY
미나르숲:망가진 용의 둥지,2025-12-25T04:00:00,2025-12-25,04:00,목,32333332.0,10.0,HOURLY
미나르숲:망가진 용의 둥지,2025-12-25T05:00:00,2025-12-25,05:00,목,14633556.0,10.0,HOURLY
미나르숲:망가진 용의 둥지,2025-12-25T06:00:00,2025-12-25,06:00,목,40000000.0,1.0,HOURLY
미나르숲:망가진 용의 둥지,2025-12-25T07:00:00,2025-12-25,07:00,목,16639320.0,8.0,HOURLY
미나르숲:망가진 용의 둥지,2025-12-25T08:00:00,2025-12-25,08:00,목,29835166.0,6.0,HOURLY
